,Year,Institution_ID,Source_ID,Variant_Label,Experiment_ID,Annual_Mean_Temp
47,1947,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.333611533904921
48,1948,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.373999277986007
49,1949,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.428681103155162
50,1950,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.274104498708494
51,1951,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.211686348236958
52,1952,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.168431055396445
53,1953,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.171863806768433
54,1954,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.266392109434726
55,1955,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.326091261551815
56,1956,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.174749112304623
57,1957,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.275140509327903
58,1958,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.284595617662232
59,1959,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.121964280138457
60,1960,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.039183979109742
61,1961,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.241996880413149
62,1962,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.259630503126042
63,1963,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.169751010324893
64,1964,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.01574018531957
65,1965,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.113165635761348
66,1966,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.111006720948524
67,1967,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.174087874371294
68,1968,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.342048609773626
